#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_4	5306291	84	Y	N	1	*	4
contig_2	214836	128	Y	N	1	*	2
contig_1	80510	207	N	Y	2	*	1
contig_15	79487	142	Y	N	1	*	15
contig_11	41785	1117	Y	Y	14	*	11
contig_8	41154	20	Y	N	1	*	8
contig_5	35423	19	N	N	4	*	3,5,-16,3
contig_7	34446	220	N	Y	3	*	7
contig_3	31963	39	N	Y	1	*	3
contig_12	24183	158	N	N	1	*	16,12,*
contig_14	11212	139	N	N	1	*	*,14,*
contig_6	7269	19	N	Y	1	*	6
contig_13	5004	199	N	Y	2	*	13
